selection_manual_fix,weighted_votes
Vertigo,14
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",13.5
Citizen Kane,9
The Searchers,9
Tokyo Story,9
A Brighter Summer Day,8.5
Beau Travail,8
Mulholland Dr.,8
In The Mood For Love,7.5
La Règle Du Jeu,7.5
Late Spring,7.5
Céline And Julie Go Boating,7
L'atalante,7
Sunrise: A Song Of Two Humans,6.5
The Godfather,6.5
2001: A Space Odyssey,6
Apocalypse Now,6
Histoire(S) Du Cinéma,6
Man With A Movie Camera,6
Seven Samurai,6
Singin' In The Rain,6
Au Hasard Balthazar,5
Close-Up,5
Gertrud,5
Madame De...,5
Meshes Of The Afternoon,5
Portrait Of A Lady On Fire,5
Stalker,5
Syndromes And A Century,5
The Spirit Of The Beehive,5
Mirror,4.5
Persona,4.5
Playtime,4.5
8½,4
À Bout De Souffle,4
Battleship Potemkin,4
Bicycle Thieves,4
Cléo From 5 To 7,4
M,4
Once Upon A Time In The West,4
Parasite,4
Pather Panchali,4
Rashomon,4
The Leopard,4
Sátántangó,3.5
The Exterminating Angel,3.5
Where Is The Friend's House?,3.5
A City Of Sadness,3
Ahfei Zhenjuang,3
An Elephant Sitting Still,3
Andrei Rublev,3
Campanadas A Medianoche,3
Chungking Express,3
"Goodbye, Dragon Inn",3
Hiroshima Mon Amour,3
Hsimeng Jensheng,3
India Song,3
Journey To Italy,3
Kurutta Ippeiji,3
La Jetée,3
La Région Centrale,3
Le Mépris,3
Letter From An Unknown Woman,3
Marnie,3
Spring In A Small Town,3
The 400 Blows,3
The Conformist,3
The Passion Of Joan Of Arc,3
Trouble In Paradise,3
Yi Yi,3
All That Heaven Allows,2.5
Daisies,2.5
Days Of Heaven,2.5
La Maman Et La Putain,2.5
Last Year At Marienbad,2.5
Le Bonheur,2.5
Metropolis,2.5
North By Northwest,2.5
The Crowd,2.5
Wanda,2.5
A Woman Under The Influence,2
"Aguirre, Wrath Of God",2
Alien,2
All About My Mother,2
Army Of Shadows,2
Barry Lyndon,2
"Buongiorno, Notte",2
Charulata,2
City Lights,2
D'est,2
Daughters Of The Dust,2
Double Indemnity,2
Flowers Of Shanghai,2
Francesco Giullare Di Dio,2
Gangs Of Wasseypur,2
Goodfellas,2
Hard To Be A God,2
Heat,2
Holy Motors,2
House Of Hummingbird,2
Imitation Of Life: 1959,2
"Je, Tu, Il, Elle",2
Johnny Guitar,2
Joi-Uchi,2
Kaidan,2
Kaili Blues,2
L' Empire Des Sens,2
La Coquille Et Le Clergyman,2
La Notte,2
Ladies' Man,2
Les Vampires,2
Magnolia,2
Make Way For Tomorrow,2
Modern Times,2
Nosferatu  Phantom Der Nacht,2
Notorious,2
Once Upon A Time In America,2
Onna Ga Kaidan O Agaru Toki,2
Orlando,2
Our Hospitality,2
Psycho: 1960,2
Red Desert,2
"Right Now, Wrong Then",2
Rudao Longhu Bang,2
Saikaku Ichidai Onna,2
Solaris,2
Spirited Away,2
Sullivan's Travels,2
Taxi Driver,2
The Apartment,2
The Assassin,2
The Back Of Beyond,2
The Gleaners And I,2
The Headless Woman,2
The Intruder,2
The Magnificent Seven,2
The Master,2
The Night Of The Hunter,2
The Piano,2
The Scarlet Empress,2
The Shining,2
The Third Man,2
The Umbrellas Of Cherbourg,2
The Virgin Suicides,2
The Wild Bunch,2
There Will Be Blood,2
Three Colours Blue,2
Tongnian Wangshi,2
Touch Of Evil,2
Trois Couleurs Rouge,2
Tropical Malady,2
Twin Peaks: The Return,2
Uncle Boonmee Who Can Recall His Past Lives,2
Wake In Fright,2
Wandafuru Raifu,2
West Of The Tracks,2
West Side Story,2
Wild Strawberries,2
Wo Hu Zang Long,2
Zangiku Monogatari,2
A Lullaby To The Sorrowful Mystery,1.5
Akira Kurosawa's Dreams,1.5
Bringing Up Baby,1.5
Carol,1.5
Clueless,1.5
Die Bitteren Tränen Der Petra Von Kant,1.5
Europa '51,1.5
Grave Of The Fireflies,1.5
Love Streams,1.5
Nostalgia For The Light,1.5
Ordet,1.5
Pyaasa,1.5
Rocky,1.5
Shoah,1.5
Suspiria,1.5
The Colour Of Pomegranates,1.5
The Hour Of The Furnaces,1.5
The Red Shoes,1.5
The River: 1951,1.5
Why Is Yellow The Middle Of The Rainbow?,1.5
"""F For Fake""",1
(Nostalgia),1
13th,1
2 Days In Paris,1
20 Feet From Stardom,1
24 Hour Psycho,1
3 Idiots,1
"4 Luni, 3 Saptamini Si 2 Zile",1
A Dog's Life,1
A Guest Of Life: Alexander Csoma De Koros,1
A Man Escaped,1
A New Leaf,1
A Star Is Born,1
About Elly,1
Aiqing Wansui,1
Akahige,1
Akira,1
Alice,1
All About Eve,1
All Around Us,1
All The President's Men,1
Amarcord,1
Aranyer Din Ratri,1
Arnulf Rainer,1
Artificial Intelligence  A.i.,1
Aruitemo Aruitemo,1
Atheis,1
Bab Al-Hadid,1
Banbianren,1
Beneath The Valley Of The Ultra Vixens,1
Berlin Alexanderplatz,1
Berlin Symphony Of A City,1
Bharat Mata,1
Bigger Than Life,1
Black Girl,1
Black Narcissus,1
Blade Runner,1
Bonjour Tristesse,1
Breakfast On The Grass,1
Brief Encounter,1
Brief Encounters,1
Brokeback Mountain,1
By The Bluest Of Seas,1
Canoa,1
Casablanca,1
Castle In The Sky,1
Cet Obscur Objet Du Désir,1
Chichi Ariki,1
Chopper,1
Chunhyang,1
City Hall,1
Clouds Of Sils Maria,1
Come And See,1
Commingled Containers,1
Cousins,1
Crash,1
Cries And Whispers,1
Crush And Blush,1
Cure,1
Cut-Off Movie,1
Czlowiek Z Marmuru,1
Dachimawa Lee,1
"Dance, Girl, Dance",1
Dances With Wolves,1
Daoma Zei,1
Dawn Of The Dead,1
De Son Appartement,1
De Stilte Rond Christine M.,1
Dead Man,1
Dead Ringers,1
Dekalog,1
Démanty Noci,1
Der Blaue Engel,1
Der Tod Des Empedokles,1
Detour,1
Diary Of A Mad Housewife,1
Die Bleierne Zeit,1
Die Nibelungen  1 Teil: Siegfried,1
Die Wunderbare Lüge Der Nina Petrowna,1
Dil Se..,1
