selection_manual_fix,weighted_votes
Vertigo,77.16666666666667
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",51.666666666666664
Citizen Kane,51.5
2001: A Space Odyssey,48
Sunrise: A Song Of Two Humans,46.166666666666664
The Searchers,42.5
Tokyo Story,40.5
In The Mood For Love,37
Man With A Movie Camera,35
La Règle Du Jeu,34.5
Persona,33
Mulholland Dr.,32.5
Close-Up,32.166666666666664
Beau Travail,32
Late Spring,30
Mirror,28.666666666666668
M,26.666666666666668
Shoah,26.5
City Lights,25.666666666666668
À Bout De Souffle,25
Apocalypse Now,25
Taxi Driver,25
Au Hasard Balthazar,24
The Godfather,24
Ordet,23.166666666666668
Le Mépris,23
The Night Of The Hunter,23
Barry Lyndon,22.5
La Maman Et La Putain,22
Meshes Of The Afternoon,22
L'atalante,21.5
La Dolce Vita,21.5
Battleship Potemkin,21
Cléo From 5 To 7,21
Singin' In The Rain,20.5
Stalker,20.5
The 400 Blows,19.5
Daisies,19
Histoire(S) Du Cinéma,19
Journey To Italy,19
Some Like It Hot,19
The Leopard,19
Rashomon,18.5
8½,18
Andrei Rublev,18
North By Northwest,18
Rear Window,18
Rio Bravo,18
Sherlock Jr.,17.5
To Be Or Not To Be,17.5
Blade Runner,17
Sátántangó,17
Modern Times,16
Sans Soleil,15.5
Sunset Blvd.,15.5
Blue Velvet,15
Fanny And Alexander,14.5
Seven Samurai,14.5
Touki Bouki,14.5
Amarcord,14
Bicycle Thieves,14
Psycho: 1960,14
"Aguirre, Wrath Of God",13.5
Johnny Guitar,13.5
Playtime,13.5
The Passion Of Joan Of Arc,13.5
Wanda,13.5
Wild Strawberries,13.5
Tropical Malady,13.333333333333334
Imitation Of Life: 1959,13
Metropolis,13
Pierrot Le Fou,13
The Apartment,13
The Man Who Shot Liberty Valance,13
The Piano,13
The Shining,13
A Man Escaped,12
L'avventura,12
La Jetée,12
Portrait Of A Lady On Fire,12
Pulp Fiction,12
The Colour Of Pomegranates,12
The Deer Hunter,12
The Umbrellas Of Cherbourg,12
Ugetsu Monogatari,12
Spirited Away,11.5
The River: 1951,11.5
Vampyr,11.5
Madame De...,11
Partie De Campagne,11
Sansho The Bailiff,11
By The Bluest Of Seas,10.5
Once Upon A Time In The West,10.5
The House Is Black,10.5
Chungking Express,10
Come And See,10
Melancholia: 2011,10
The Thing,10
Touch Of Evil,10
The Gospel According To St. Matthew,9.5
Trouble In Paradise,9.5
Hiroshima Mon Amour,9
L' Eclisse,9
La Grande Illusion,9
My Neighbour Totoro,9
News From Home,9
Paisan,9
Pather Panchali,9
Red Desert,9
Vagabond,9
Cries And Whispers,8.5
Gertrud,8.5
In Vanda's Room,8.5
The Exterminating Angel,8.5
The Spirit Of The Beehive,8.5
Europa '51,8
Fear Eats The Soul,8
"Je, Tu, Il, Elle",8
Les Enfants Du Paradis,8
Letter From An Unknown Woman,8
Lost Highway,8
Once Upon A Time In America,8
Tabu  A Story Of The South Seas,8
The General,8
The Seventh Seal,8
The Third Man,8
The Wild Bunch,8
There Will Be Blood,8
Greed,7.5
La Ciénaga,7.5
Le Samouraï,7.5
My Darling Clementine,7.5
Nosferatu,7.5
Parasite,7.5
Un Chien Andalou,7.5
All That Heaven Allows,7
An Affair To Remember,7
Blowup,7
Die Abenteuer Des Prinzen Achmed,7
Get Out,7
Les Demoiselles De Rochefort,7
People On Sunday,7
Vivre Sa Vie,7
West Of The Tracks,7
Yi Yi,7
Bringing Up Baby,6.5
Céline And Julie Go Boating,6.5
"Diaries, Notes & Sketches: Walden",6.5
Pickpocket,6.5
The Ascent,6.5
The Conversation,6.5
Uncle Boonmee Who Can Recall His Past Lives,6.5
A City Of Sadness,6
A Clockwork Orange,6
A Woman Under The Influence,6
Annie Hall,6
Astenichesky Sindrom,6
Breaking The Waves,6
Chinatown,6
Duck Soup,6
Fitzcarraldo,6
L' Albero Degli Zoccoli,6
L'argent,6
Moonlight,6
Nashville,6
Notorious,6
Once Upon A Time… In Hollywood,6
Only Angels Have Wings,6
Out 1,6
Roma Città Aperta,6
The Band Wagon,6
The Conformist,6
Wings Of Desire,6
Casablanca,5.833333333333333
"Stromboli, Terra Di Dio",5.666666666666667
A Brighter Summer Day,5.5
"Goodbye, Dragon Inn",5.5
Mad Max: Fury Road,5.5
The Last Laugh,5.5
Zama,5.333333333333333
7 Women,5
A Touch Of Zen,5
Blue,5
Boyhood,5
Carrie: 1976,5
Dogville,5
Earth,5
"Germania, Anno Zero",5
Inland Empire,5
It's A Wonderful Life,5
Körkarlen,5
Krylya,5
Last Year At Marienbad,5
Le Bonheur,5
Le Camion,5
Le Charme Discret De La Bourgeoisie,5
Mediterranee,5
Moartea Domnului Lazarescu,5
Mon Oncle,5
Orlando,5
"Paris, Texas",5
Possession,5
Some Came Running,5
Splendor In The Grass,5
Suspiria,5
The Battle Of Algiers,5
The Gleaners And I,5
The Power Of The Dog,5
The Quiet Man,5
The Quince Tree Sun,5
The Thin Red Line,5
Trás-Os-Montes,5
Tristana,5
Under The Skin: 2013,5
Werckmeister Harmonies,5
Black Girl,4.5
Das Weisse Band Eine Deutsche Kindergeschichte,4.5
Daughters Of The Dust,4.5
Eyes Wide Shut,4.5
His Girl Friday,4.5
La Vie D'adèle  Chapitres 1 Et 2,4.5
Love Streams,4.5
The Birds,4.5
The Ghost And Mrs. Muir,4.5
The Red Shoes,4.5
The Travelling Players,4.5
The Wedding March,4.5
Twin Peaks: The Return,4.5
35 Rhums,4
A Separation,4
American Honey,4
An Angel At My Table,4
An Autumn Afternoon,4
Chibusa Yo Eien Nare,4
Crash,4
Das Cabinet Des Dr. Caligari,4
Das Testament Des Dr. Mabuse,4
Deus E O Diabo Na Terra Do Sol,4
Ebolusyon Ng Isang Pamilyang Pilipino,4
Faces,4
Francesco Giullare Di Dio,4
Goodbye To Language,4
Heat,4
Heaven's Gate,4
Ikiru,4
Im Lauf Der Zeit,4
In A Lonely Place,4
India Song,4
Ivan The Terrible,4
Killer Of Sheep,4
La Flor,4
La Grande Bellezza,4
La Petite Vendeuse De 'Soleil',4
Lawrence Of Arabia,4
Line Describing A Cone,4
Magnolia,4
Manhattan,4
Meek's Cutoff,4
Midare-Gumo,4
"Moi, Un Noir",4
Mouchette,4
Muriel Ou Le Temps D'un Retour,4
Nomadland,4
Palombella Rossa,4
Phantom Of The Paradise,4
Princess Mononoke,4
Professione: Reporter,4
Star Wars,4
Suspense,4
The Crucified Lovers,4
The Godfather Part Ii,4
"The Good, The Bad And The Ugly",4
The Kid,4
The Tree Of Life,4
The Wind,4
The Wings Of Eagles,4
Toni Erdmann,4
Twin Peaks: Fire Walk With Me,4
Two-Lane Blacktop,4
Uccellacci E Uccellini,4
Ultimo Tango A Parigi,4
Videodrome,4
Vitalina Varela,4
Where Is The Friend's House?,4
Young Mr. Lincoln,4
Zastava Ilyicha,4
Death In Venice,3.5
Die Bitteren Tränen Der Petra Von Kant,3.5
Dog Star Man,3.5
Goodfellas,3.5
Happy Hour,3.5
Jaws,3.5
Oyu-Sama,3.5
Profondo Rosso,3.5
Rocco E I Suoi Fratelli,3.5
Soleil Ô,3.5
The Gold Rush,3.5
The Holy Mountain,3.5
The Matrix,3.5
The Wizard Of Oz,3.5
Viridiana,3.5
W.r. - Mysteries Of The Organism,3.5
Wavelength,3.5
Hyènes,3.3333333333333335
A Corner In Wheat,3
A Idade Da Terra,3
Aiqing Wansui,3
Alien,3
Amsterdam Global Village,3
Army Of Shadows,3
Arrebato,3
Arrival,3
Artificial Intelligence  A.i.,3
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses Of Beauty",3
Bakushû,3
Born In Flames,3
Brief Encounter,3
Carol,3
Charulata,3
