selection_manual_fix,weighted_votes
Vertigo,115.16666666666667
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",100.16666666666667
In The Mood For Love,86.5
Citizen Kane,82
Tokyo Story,79.5
2001: A Space Odyssey,76.5
Beau Travail,67
Singin' In The Rain,66
Sunrise: A Song Of Two Humans,65.66666666666667
Mulholland Dr.,65.5
Apocalypse Now,53.5
Man With A Movie Camera,52.5
The Searchers,51.5
Persona,50.5
La Règle Du Jeu,50
Cléo From 5 To 7,49
Portrait Of A Lady On Fire,47.5
The Night Of The Hunter,47
Meshes Of The Afternoon,45.5
The Godfather,45
Some Like It Hot,44.5
Taxi Driver,41
Shoah,40.5
Mirror,38.166666666666664
Close-Up,37.666666666666664
The Passion Of Joan Of Arc,37.5
Blade Runner,37
M,36.666666666666664
Late Spring,36.5
Seven Samurai,35.5
Stalker,35
Daisies,34.5
L'atalante,34.5
City Lights,34.166666666666664
North By Northwest,34
The Apartment,34
Ordet,33.666666666666664
Barry Lyndon,33.5
Do The Right Thing,33.5
Psycho: 1960,33.5
Rear Window,33.5
The 400 Blows,33
Au Hasard Balthazar,32.5
À Bout De Souffle,32
My Neighbour Totoro,31
Le Mépris,30.5
The Third Man,30
La Dolce Vita,29.5
A Matter Of Life And Death,28.5
Playtime,28.5
Touki Bouki,28.5
Moonlight,27
The Piano,27
Goodfellas,26.5
Spirited Away,26.5
8½,26
Pather Panchali,26
The Shining,26
Andrei Rublev,25
Battleship Potemkin,25
Imitation Of Life: 1959,25
Wanda,24.5
Blue Velvet,24
Journey To Italy,24
Sunset Blvd.,24
Don't Look Now,23
Fear Eats The Soul,23
La Maman Et La Putain,23
Rashomon,23
Sherlock Jr.,23
The Battle Of Algiers,23
Vagabond,23
The Leopard,22.5
Bicycle Thieves,22
La Jetée,22
The Red Shoes,22
Come And See,21.5
Get Out,21.5
Pierrot Le Fou,21.5
To Be Or Not To Be,21.5
Metropolis,21
Modern Times,21
Rio Bravo,21
L'avventura,20.5
Parasite,20.5
Sátántangó,20.5
Chungking Express,20
Daughters Of The Dust,20
Histoire(S) Du Cinéma,20
The Spirit Of The Beehive,20
A Man Escaped,19.5
Ugetsu Monogatari,19.5
Wild Strawberries,19.5
