selection_manual_fix,weighted_votes
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",18.833333333333332
Vertigo,11.833333333333334
Citizen Kane,11
Man With A Movie Camera,9
Twenty Years Later,9
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses Of Beauty",8
Limite,8
Tokyo Story,8
Close-Up,7.333333333333333
La Ciénaga,7
Pierrot Le Fou,7
Playtime,7
In The Mood For Love,6
The Godfather,6
The Man Who Shot Liberty Valance,6
2001: A Space Odyssey,5.5
La Règle Du Jeu,5.5
Rear Window,5.5
Terra Em Transe,5.5
City Lights,5.333333333333333
8½,5
Blow Out,5
Histoire(S) Du Cinéma,5
Ordet,4.833333333333333
Au Hasard Balthazar,4.5
Cléo From 5 To 7,4.5
Daisies,4.5
Los Olvidados,4.5
Mulholland Dr.,4.5
Apocalypse Now,4
Deus E O Diabo Na Terra Do Sol,4
El,4
Journey To Italy,4
Sans Soleil,4
Seven Samurai,4
Trás-Os-Montes,4
Wanda,4
Where Is The Friend's House?,4
Céline And Julie Go Boating,3.5
La Batalla De Chile: La Lucha De Un Pueblo Sin Armas: La Insur Eccion De La Burguesia,3.5
Only Angels Have Wings,3.5
The House Is Black,3.5
Beau Travail,3
Fear Eats The Soul,3
It's A Wonderful Life,3
Juan Moreira,3
La Dolce Vita,3
Meshes Of The Afternoon,3
Metropolis,3
Mouchette,3
Nazareno Cruz Y El Lobo,3
One Way Or Another,3
Partie De Campagne,3
Persona,3
Sátántangó,3
Shoah,3
Singin' In The Rain,3
Sullivan's Travels,3
Taxi Driver,3
The Birds,3
"The Good, The Bad And The Ugly",3
The Searchers,3
A Brighter Summer Day,2.5
Goodfellas,2.5
Memories Of Underdevelopment,2.5
The Grapes Of Wrath,2.5
The Passion Of Joan Of Arc,2.5
Mirror,2.3333333333333335
A Idade Da Terra,2
An Affair To Remember,2
An Autumn Afternoon,2
Battleship Potemkin,2
Bringing Up Baby,2
Dersu Uzala,2
Design For Living,2
"Este Es El Romance Del Aniceto Y La Francisca, De Cómo Quedó Trunco, Comenzó La Tristeza Y Unas Pocas Cosas Más…",2
Flammes,2
Groundhog Day,2
Jaws,2
L'atalante,2
La Strada,2
Makwayela,2
Mistérios De Lisboa,2
Mon Oncle,2
Nanook Of The North,2
Once Upon A Time In The West,2
One Week,2
Palombella Rossa,2
Pink Flamingos,2
Psycho: 1960,2
Qianxi Manbo,2
Rio Bravo,2
Rosetta,2
Sambizanga,2
Sansho The Bailiff,2
Serras Da Desordem,2
Seven Chances,2
Showgirls,2
Simón Del Desierto,2
Soleil Ô,2
Sunset Blvd.,2
Symbiopsychotaxiplasm: Take One,2
Taste Of Cherry,2
The Apartment,2
The Day After,2
The Hour Of The Furnaces,2
The Naked Kiss,2
The Night Of The Hunter,2
The Sun Shines Bright,2
The Wild Bunch,2
The Wings Of Eagles,2
The Wizard Of Oz,2
Titicut Follies,2
Toute Une Nuit,2
Tropical Malady,2
Trouble Every Day,2
Twin Peaks: The Return,2
Two-Lane Blacktop,2
Videodrome,2
Vitalina Varela,2
Vivir En Sevilla,2
Vivre Sa Vie,2
Zama,2
Zangiku Monogatari,2
By The Bluest Of Seas,1.5
Gertrud,1.5
Hyènes,1.5
Ikiru,1.5
Johnny Guitar,1.5
