selection_manual_fix,weighted_votes
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",74
Vertigo,55
Citizen Kane,46
2001: A Space Odyssey,34.5
Do The Right Thing,32.5
Killer Of Sheep,32
Tokyo Story,30.5
In The Mood For Love,29.5
Man With A Movie Camera,26
Mulholland Dr.,25.5
Close-Up,24
Meshes Of The Afternoon,23.5
Playtime,23.5
Seven Samurai,22.5
Sunrise: A Song Of Two Humans,22.5
Beau Travail,22
Cléo From 5 To 7,22
Late Spring,22
La Règle Du Jeu,21.5
News From Home,21.5
Singin' In The Rain,21.5
The Godfather,21.5
Au Hasard Balthazar,20.5
The Passion Of Joan Of Arc,20.5
Daughters Of The Dust,19.5
The Battle Of Algiers,18.5
Sans Soleil,18
Psycho: 1960,17
Sherlock Jr.,17
Casablanca,16.833333333333332
Daisies,16
Shoah,15.5
The Gleaners And I,15.5
The Night Of The Hunter,15
Wanda,15
The Searchers,14.5
Fear Eats The Soul,14
L'atalante,14
Moonlight,14
Bicycle Thieves,13.5
Sansho The Bailiff,13.5
The Red Shoes,13
A Brighter Summer Day,12.5
A Woman Under The Influence,12.5
City Lights,12.5
Madame De...,12.5
The Piano,12.5
M,12
The General,12
Lawrence Of Arabia,11.5
Persona,11.5
The Wizard Of Oz,11.5
Black Girl,11
Céline And Julie Go Boating,11
L'avventura,11
North By Northwest,11
The Magnificent Ambersons,11
West Indies: The Fugitive Slaves Of Liberty,11
La Jetée,10.5
Nashville,10.5
Pather Panchali,10.5
Ugetsu Monogatari,10.5
Yi Yi,10.5
Notorious,10
Rashomon,10
Rear Window,10
The Godfather Part Ii,10
Memories Of Underdevelopment,9.5
Chungking Express,9
Goodfellas,9
Imitation Of Life: 1959,9
Only Angels Have Wings,9
Sambizanga,9
Symbiopsychotaxiplasm: Take One,9
The Texas Chain Saw Massacre,9
The Watermelon Woman,9
A Man Escaped,8.5
Get Out,8.5
The Spirit Of The Beehive,8.5
8½,8
An Autumn Afternoon,8
Barry Lyndon,8
Born In Flames,8
Bringing Up Baby,8
Flowers Of Shanghai,8
"Goodbye, Dragon Inn",8
His Girl Friday,8
Jaws,8
The Third Man,8
Blue Velvet,7.5
I Know Where I'm Going!,7.5
Metropolis,7.5
Mirror,7.5
Ordet,7.5
The House Is Black,7.5
The Tree Of Life,7.5
Trouble In Paradise,7.5
À Bout De Souffle,7
All That Jazz,7
Bara No Soretsu,7
Chinatown,7
Double Indemnity,7
Harlan County Usa,7
In A Lonely Place,7
L'argent,7
Losing Ground,7
Meghe Dhaka Tara,7
Modern Times,7
Paris Is Burning,7
Portrait Of A Lady On Fire,7
Stalker,7
The Best Years Of Our Lives,7
The Conformist,7
The Matrix,7
Touch Of Evil,7
Tropical Malady,6.833333333333333
All About My Mother,6.5
La Dolce Vita,6.5
Taxi Driver,6.5
The 400 Blows,6.5
The Ascent,6.5
The Thing,6.5
Wavelength,6.5
A Touch Of Zen,6
All My Life,6
Andrei Rublev,6
Artificial Intelligence  A.i.,6
Battleship Potemkin,6
Crash,6
Gertrud,6
Le Mépris,6
Los Olvidados,6
Once Upon A Time In The West,6
Out Of The Past,6
Rio Bravo,6
Star Wars,6
Sunset Blvd.,6
The Crowd,6
Touki Bouki,6
A Matter Of Life And Death,5.5
Days Of Heaven,5.5
Duck Amuck,5.5
Jules Et Jim,5.5
Le Notti Di Cabiria,5.5
Les Enfants Du Paradis,5.5
Pickpocket,5.5
Spirited Away,5.5
A City Of Sadness,5
Blue,5
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,5
Intolerance,5
It's A Wonderful Life,5
Kanehsatake: 270 Years Of Resistance,5
Love Streams,5
Mccabe & Mrs. Miller,5
My Neighbour Totoro,5
Out 1,5
Parasite,5
Personal Problems,5
Portrait Of Jason,5
Raging Bull,5
Shoes,5
The Birds,5
The Chelsea Girls,5
The Heartbreak Kid,5
The Hour Of The Furnaces,5
The Intruder,5
The Man Who Shot Liberty Valance,5
The Quince Tree Sun,5
The Shop Around The Corner,5
Eyes Wide Shut,4.5
Fanny And Alexander,4.5
Gentlemen Prefer Blondes,4.5
Pierrot Le Fou,4.5
Pyaasa,4.5
Twin Peaks: The Return,4.5
Taste Of Cherry,4.333333333333333
2 Ou 3 Choses Que Je Sais D'elle,4
3 Women,4
35 Rhums,4
All About Eve,4
All That Heaven Allows,4
Apocalypse Now,4
Black Narcissus,4
Blade Runner,4
Brief Encounter,4
Charulata,4
Come And See,4
Cure,4
Duck Soup,4
Grave Of The Fireflies,4
Greed,4
Happy Together,4
In Einem Jahr Mit 13 Monden,4
It Happened One Night,4
Journey To Italy,4
Kiss Me Deadly,4
La Double Vie De Véronique,4
La Grande Illusion,4
Meet Me In St. Louis,4
Napoléon,4
Nitrate Kisses,4
One Way Or Another,4
Opening Night,4
Our Hospitality,4
Pasqualino Settebellezze,4
Qianxi Manbo,4
Ran,4
Rosemary's Baby,4
Sátántangó,4
Some Like It Hot,4
