selection_manual_fix,weighted_votes
In The Mood For Love,49.5
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",48.5
Singin' In The Rain,45.5
Tokyo Story,39
Vertigo,38
Portrait Of A Lady On Fire,35.5
Beau Travail,35
Mulholland Dr.,33
Do The Right Thing,32
Citizen Kane,30.5
2001: A Space Odyssey,28.5
Apocalypse Now,28.5
Cléo From 5 To 7,28
A Matter Of Life And Death,26.5
Some Like It Hot,25.5
The Night Of The Hunter,24
The Passion Of Joan Of Arc,24
Meshes Of The Afternoon,23.5
Goodfellas,23
My Neighbour Totoro,22
The Third Man,22
Moonlight,21
Seven Samurai,21
The Apartment,21
The Godfather,21
Blade Runner,20
Don't Look Now,20
Psycho: 1960,19.5
Sunrise: A Song Of Two Humans,19.5
The Battle Of Algiers,18
Man With A Movie Camera,17.5
Persona,17.5
The Red Shoes,17.5
Pather Panchali,17
North By Northwest,16
Taxi Driver,16
Daisies,15.5
Daughters Of The Dust,15.5
La Règle Du Jeu,15.5
Rear Window,15.5
The Matrix,15.5
Fear Eats The Soul,15
Playtime,15
Spirited Away,15
Get Out,14.5
Jaws,14.5
Stalker,14.5
Shoah,14
The Piano,14
Touki Bouki,14
Vagabond,14
The 400 Blows,13.5
The Life And Death Of Colonel Blimp,13.5
Casablanca,13
Killer Of Sheep,13
L'atalante,13
Parasite,13
The Shining,13
The Texas Chain Saw Massacre,13
Alien,12
Imitation Of Life: 1959,12
The Godfather Part Ii,12
Come And See,11.5
"Goodbye, Dragon Inn",11.5
The Gleaners And I,11.5
The Spirit Of The Beehive,11.5
Barry Lyndon,11
Black Girl,11
Black Narcissus,11
Raging Bull,11
Wanda,11
Ordet,10.5
The General,10.5
Under The Skin: 2013,10.5
Chungking Express,10
La Jetée,10
M,10
The Wizard Of Oz,10
His Girl Friday,9.5
Mirror,9.5
News From Home,9.5
Yi Yi,9.5
A Canterbury Tale,9
Blue Velvet,9
Bringing Up Baby,9
It's A Wonderful Life,9
Morvern Callar,9
Ran,9
The Ascent,9
The Searchers,9
The Watermelon Woman,9
Au Hasard Balthazar,8.5
City Lights,8.5
India Song,8.5
L'avventura,8.5
Nostalgia For The Light,8.5
Pierrot Le Fou,8.5
Sunset Blvd.,8.5
8½,8
Back To The Future,8
Bicycle Thieves,8
Days Of Heaven,8
La Dolce Vita,8
Metropolis,8
Orlando,8
"The Good, The Bad And The Ugly",8
The Thing,8
Touch Of Evil,8
A Man Escaped,7.5
Ikiru,7.5
Le Mépris,7.5
Magnolia,7.5
Nashville,7.5
Once Upon A Time In The West,7.5
Raiders Of The Lost Ark,7.5
Sansho The Bailiff,7.5
The Conformist,7.5
There Will Be Blood,7.5
Ugetsu Monogatari,7.5
West Indies: The Fugitive Slaves Of Liberty,7.5
À Bout De Souffle,7
All About My Mother,7
Andrei Rublev,7
Aruitemo Aruitemo,7
Céline And Julie Go Boating,7
"Distant Voices, Still Lives",7
Hidden,7
Kind Hearts And Coronets,7
Le Bonheur,7
Pan's Labyrinth,7
Petite Maman,7
Pink Flamingos,7
The Act Of Killing,7
The Headless Woman,7
The Long Day Closes,7
Wings Of Desire,7
All That Heaven Allows,6.5
I Know Where I'm Going!,6.5
It's Such A Beautiful Day,6.5
Late Spring,6.5
Performance,6.5
A Portrait Of Ga,6
All About Eve,6
Army Of Shadows,6
Chinatown,6
E.t.  The Extra-Terrestrial,6
Edvard Munch,6
Handsworth Songs,6
Heat,6
Jurassic Park,6
La Grande Illusion,6
Last Year At Marienbad,6
Out Of The Past,6
Pandora's Box,6
"Paris, Texas",6
Pulp Fiction,6
The Colour Of Pomegranates,6
The Green Ray,6
The Innocents,6
