selection_manual_fix,weighted_votes
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",215
Vertigo,208
Citizen Kane,163
Tokyo Story,144
In The Mood For Love,141
2001: A Space Odyssey,130
Beau Travail,106
Mulholland Dr.,105
Man With A Movie Camera,100
Singin' In The Rain,99
Sunrise: A Song Of Two Humans,98
The Godfather,93
La Règle Du Jeu,87
Cléo From 5 To 7,81
The Searchers,80
Meshes Of The Afternoon,79
Close-Up,78
Persona,76
Apocalypse Now,72
Seven Samurai,71
Late Spring,70
The Passion Of Joan Of Arc,70
Playtime,68
Do The Right Thing,67
Au Hasard Balthazar,66
The Night Of The Hunter,66
Shoah,64
Daisies,63
Taxi Driver,62
Portrait Of A Lady On Fire,60
8½,59
Mirror,59
Psycho: 1960,59
L'atalante,58
Pather Panchali,56
City Lights,55
M,55
À Bout De Souffle,53
Rear Window,53
Some Like It Hot,53
Bicycle Thieves,52
Rashomon,52
Killer Of Sheep,51
Stalker,51
Barry Lyndon,49
North By Northwest,49
The Battle Of Algiers,49
Ordet,48
Wanda,48
The 400 Blows,46
The Piano,46
Fear Eats The Soul,45
News From Home,45
Battleship Potemkin,44
Blade Runner,44
Le Mépris,44
Sherlock Jr.,44
The Apartment,44
Sans Soleil,43
Daughters Of The Dust,42
La Dolce Vita,42
Moonlight,42
Casablanca,40
Goodfellas,40
The Third Man,40
Touki Bouki,39
Andrei Rublev,38
La Jetée,38
Metropolis,38
The Gleaners And I,38
The Red Shoes,38
Journey To Italy,37
L'avventura,37
My Neighbour Totoro,37
Imitation Of Life: 1959,36
Sansho The Bailiff,36
Spirited Away,36
A Brighter Summer Day,35
A Matter Of Life And Death,35
Céline And Julie Go Boating,35
Histoire(S) Du Cinéma,35
Modern Times,35
Sátántangó,35
Sunset Blvd.,35
Blue Velvet,34
Pierrot Le Fou,34
The Spirit Of The Beehive,34
Chungking Express,33
The Shining,33
Madame De...,32
Parasite,32
The Leopard,32
Ugetsu Monogatari,32
Yi Yi,32
A Man Escaped,31
Black Girl,31
Get Out,31
Once Upon A Time In The West,31
The General,31
Tropical Malady,31
Rio Bravo,30
The House Is Black,30
Vagabond,30
Come And See,29
Jaws,29
La Maman Et La Putain,29
The Godfather Part Ii,29
Bringing Up Baby,28
"Goodbye, Dragon Inn",28
The Man Who Shot Liberty Valance,28
The Wizard Of Oz,28
Touch Of Evil,28
Wild Strawberries,28
A Woman Under The Influence,27
Don't Look Now,27
Nashville,27
To Be Or Not To Be,27
"Aguirre, Wrath Of God",26
The Conformist,26
The Matrix,26
The Texas Chain Saw Massacre,26
The Thing,26
Johnny Guitar,25
Only Angels Have Wings,25
The Colour Of Pomegranates,25
The Umbrellas Of Cherbourg,25
There Will Be Blood,25
The Ascent,24
Fanny And Alexander,23
His Girl Friday,23
Pulp Fiction,23
Raging Bull,23
It's A Wonderful Life,22
Lawrence Of Arabia,22
Notorious,22
All That Heaven Allows,21
Gertrud,21
La Ciénaga,21
Les Enfants Du Paradis,21
Partie De Campagne,21
Pickpocket,21
Sambizanga,21
The Seventh Seal,21
The Wild Bunch,21
Trouble In Paradise,21
Alien,20
Chinatown,20
India Song,20
La Grande Illusion,20
The Watermelon Woman,20
Vampyr,20
Days Of Heaven,19
Le Bonheur,19
Meghe Dhaka Tara,19
West Indies: The Fugitive Slaves Of Liberty,19
A City Of Sadness,18
All About My Mother,18
Amarcord,18
Ikiru,18
Los Olvidados,18
Once Upon A Time In America,18
Orlando,18
Out Of The Past,18
The Gospel According To St. Matthew,18
Vivre Sa Vie,18
Where Is The Friend's House?,18
Black Narcissus,17
Charulata,17
Heat,17
Hiroshima Mon Amour,17
L'argent,17
Last Year At Marienbad,17
Letter From An Unknown Woman,17
Memories Of Underdevelopment,17
Out 1,17
Red Desert,17
Symbiopsychotaxiplasm: Take One,17
The Exterminating Angel,17
"The Good, The Bad And The Ugly",17
The Magnificent Ambersons,17
Un Chien Andalou,17
Under The Skin: 2013,17
West Of The Tracks,17
An Autumn Afternoon,16
Greed,16
Les Demoiselles De Rochefort,16
Love Streams,16
Magnolia,16
"Paris, Texas",16
Pyaasa,16
Ran,16
The Birds,16
The River: 1951,16
Twin Peaks: The Return,16
Wings Of Desire,16
Double Indemnity,15
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,15
I Know Where I'm Going!,15
L' Eclisse,15
Mad Max: Fury Road,15
Nosferatu,15
One Way Or Another,15
Paisan,15
Paris Is Burning,15
The Headless Woman,15
The Life And Death Of Colonel Blimp,15
The Tree Of Life,15
Uncle Boonmee Who Can Recall His Past Lives,15
Wavelength,15
Zama,15
All About Eve,14
Army Of Shadows,14
Brief Encounter,14
By The Bluest Of Seas,14
Duck Soup,14
In A Lonely Place,14
Limite,14
Melancholia: 2011,14
Pink Flamingos,14
Raiders Of The Lost Ark,14
Suspiria,14
The Deer Hunter,14
The Hour Of The Furnaces,14
Twenty Years Later,14
Twin Peaks: Fire Walk With Me,14
A Touch Of Zen,13
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses Of Beauty",13
Blue,13
Born In Flames,13
Crash,13
Cries And Whispers,13
Europa '51,13
Flowers Of Shanghai,13
Grave Of The Fireflies,13
Happy Together,13
Harlan County Usa,13
Intolerance,13
"Je, Tu, Il, Elle",13
Napoléon,13
Petite Maman,13
Star Wars,13
The Crowd,13
The Green Ray,13
A Canterbury Tale,12
A Clockwork Orange,12
Annie Hall,12
"Distant Voices, Still Lives",12
Earth,12
In Vanda's Room,12
Morvern Callar,12
Mouchette,12
My Darling Clementine,12
Nostalgia For The Light,12
Pandora's Box,12
Possession,12
Soleil Ô,12
Sullivan's Travels,12
Syndromes And A Century,12
Taste Of Cherry,12
The Intruder,12
The Last Laugh,12
The Quince Tree Sun,12
Videodrome,12
Werckmeister Harmonies,12
Artificial Intelligence  A.i.,11
Bara No Soretsu,11
Blow Out,11
Blowup,11
Die Abenteuer Des Prinzen Achmed,11
Die Bitteren Tränen Der Petra Von Kant,11
El Mumia,11
Gentlemen Prefer Blondes,11
La Notte,11
La Strada,11
Le Samouraï,11
Losing Ground,11
Meet Me In St. Louis,11
Once Upon A Time In Anatolia,11
Performance,11
Phantom Thread,11
Qianxi Manbo,11
Roma Città Aperta,11
Terra Em Transe,11
The Act Of Killing,11
The Band Wagon,11
The Conversation,11
The Long Day Closes,11
The Thin Red Line,11
Two-Lane Blacktop,11
Zangiku Monogatari,11
A New Leaf,10
All That Jazz,10
An Affair To Remember,10
Aruitemo Aruitemo,10
D'est,10
Das Weisse Band Eine Deutsche Kindergeschichte,10
Deus E O Diabo Na Terra Do Sol,10
E.t.  The Extra-Terrestrial,10
El,10
Eraserhead,10
Eyes Wide Shut,10
Hidden,10
Jules Et Jim,10
Jurassic Park,10
La Grande Bellezza,10
Once Upon A Time… In Hollywood,10
Pan's Labyrinth,10
Portrait Of Jason,10
Professione: Reporter,10
Rocco E I Suoi Fratelli,10
Saikaku Ichidai Onna,10
Some Came Running,10
Tabu  A Story Of The South Seas,10
The Best Years Of Our Lives,10
Toni Erdmann,10
Trás-Os-Montes,10
35 Rhums,9
A Separation,9
Back To The Future,9
Boyhood,9
Breaking The Waves,9
Carol,9
Dekalog,9
F For Fake,9
Handsworth Songs,9
Heaven's Gate,9
Holy Motors,9
Inland Empire,9
It Happened One Night,9
Kurutta Ippeiji,9
Ladies' Man,9
Le Charme Discret De La Bourgeoisie,9
Le Notti Di Cabiria,9
Lola Montès,9
Mädchen In Uniform,9
Marketa Lazarová,9
Marnie,9
Meek's Cutoff,9
Miami Vice,9
Mon Oncle,9
Princess Mononoke,9
Ratcatcher,9
"Salò, Or The 120 Days Of Sodom",9
Solaris,9
Spring In A Small Town,9
The Big Lebowski,9
The Lord Of The Rings  The Fellowship Of The Ring,9
The Power Of The Dog,9
The Quiet Man,9
Tongues Untied,9
Tristana,9
Trouble Every Day,9
A Idade Da Terra,8
All My Life,8
Amadeus,8
An Angel At My Table,8
Atlantique,8
Badlands,8
Chibusa Yo Eien Nare,8
Children Of Men,8
Duck Amuck,8
Edvard Munch,8
Fantasia,8
Fitzcarraldo,8
Groundhog Day,8
Hsimeng Jensheng,8
Hyènes,8
I Walked With A Zombie,8
In Einem Jahr Mit 13 Monden,8
Kaagaz Ke Phool,8
Kind Hearts And Coronets,8
King Kong,8
Krylya,8
L' Albero Degli Zoccoli,8
La Double Vie De Véronique,8
La Flor,8
La Région Centrale,8
Lost Highway,8
Ma Nuit Chez Maud,8
Mccabe & Mrs. Miller,8
Mikey And Nicky,8
Muriel Ou Le Temps D'un Retour,8
Nattvardsgästerna,8
Opening Night,8
Our Hospitality,8
Pasqualino Settebellezze,8
Rosemary's Baby,8
"Stromboli, Terra Di Dio",8
Subarnarekha,8
Suspense,8
The Big Sleep,8
The Gold Rush,8
The Innocents,8
The Philadelphia Story,8
The Shop Around The Corner,8
Toute Une Nuit,8
Trois Couleurs Rouge,8
Umberto D.,8
Wagon Master,8
Wandafuru Raifu,8
Wendy And Lucy,8
West Side Story,8
Yeelen,8
Zéro De Conduite,8
[Safe],7
3 Women,7
A Portrait Of Ga,7
Akira,7
All The President's Men,7
American Honey,7
An Elephant Sitting Still,7
Apur Sansar,7
Arrebato,7
Astenichesky Sindrom,7
Campanadas A Medianoche,7
Cinema Paradiso,7
Close Encounters Of The Third Kind,7
Cure,7
Das Cabinet Des Dr. Caligari,7
Dawn Of The Dead,7
Der Blaue Engel,7
Design For Living,7
"Diaries, Notes & Sketches: Walden",7
Faces,7
Fuses,7
"Germania, Anno Zero",7
Girl Friends,7
Gone With The Wind,7
Hable Con Ella,7
High And Low,7
I Am Cuba,7
It's Such A Beautiful Day,7
Ivan The Terrible,7
